Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8f1r,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: correct_answer,Spreadsheet: image,Spreadsheet: tag,Spreadsheet: layout_id,Spreadsheet: participant_group,Spreadsheet: condition_order,Spreadsheet: block_order,Spreadsheet: source_branch,Spreadsheet: source_commit,Spreadsheet: reference_notebook_path,Spreadsheet: palette_source_path,Spreadsheet: palette_copy_path,Spreadsheet: palette_type,Spreadsheet: dataset_source_path,Spreadsheet: dataset_sha256,Spreadsheet: background,Spreadsheet: condition,Spreadsheet: num_classes,Spreadsheet: difficulty_num,Spreadsheet: difficulty_label,Spreadsheet: scale_factor,Spreadsheet: colormap,Spreadsheet: trial_type,Spreadsheet: question,Spreadsheet: baseline_palette_seed,Spreadsheet: rendering_figsize,Spreadsheet: rendering_dpi,Spreadsheet: rendering_alpha,Spreadsheet: rendering_point_size,Spreadsheet: rendering_pad_ratio,Spreadsheet: objective_score,Spreadsheet: min_pairwise_dE,Spreadsheet: mean_pairwise_dE,Spreadsheet: min_background_dE,Spreadsheet: mean_background_dE,Spreadsheet: background_penalty,Spreadsheet: table_stop_reason,Spreadsheet: table_evals_used,Spreadsheet: optimization_rerun,Spreadsheet: constrained_method_used,Spreadsheet: trial_number,Spreadsheet: trial_id,Spreadsheet: side_schedule,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: optimized_side,Spreadsheet: baseline_image,Spreadsheet: optimized_image,Spreadsheet: response_option_left,Spreadsheet: response_option_right,Spreadsheet: preferred_side,Spreadsheet: selected_condition,Spreadsheet: optimized_selected,Spreadsheet: task1_source_branch,Spreadsheet: task1_source_commit,Spreadsheet: task1_reference_notebook_path,Spreadsheet: task2_reference_notebook_path,Spreadsheet: baseline_palette_source_path,Spreadsheet: optimized_palette_source_path,Spreadsheet: baseline_min_pairwise_dE,Spreadsheet: baseline_mean_pairwise_dE,Spreadsheet: baseline_min_bg_dE,Spreadsheet: baseline_mean_bg_dE,Spreadsheet: baseline_background_penalty,Spreadsheet: baseline_objective_score,Spreadsheet: optimized_min_pairwise_dE,Spreadsheet: optimized_mean_pairwise_dE,Spreadsheet: optimized_min_bg_dE,Spreadsheet: optimized_mean_bg_dE,Spreadsheet: optimized_background_penalty,Spreadsheet: optimized_objective_score,Spreadsheet: palette_regenerated,Spreadsheet: images_rerendered
673,1789996711000,21/09/2026 13:18:31,1789996711000,1,21/09/2026 14:18:31,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,31,Display 1,Screen 1,,,response,15,,,,8594.0,,,8594.0,0,8594.0,,,,Answer_15,,,Display 1,20,disc_K20_D1_opt_black.png,,K20_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,black,C2_background_aware_optimized,20,1,easy,0.80,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,1789996718000,21/09/2026 13:18:38,1789996718000,1,21/09/2026 14:18:38,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,32,Display 1,Screen 1,,,response,20,,,,5433.7,,,5433.7,1,5433.7,,,,Answer_20,,,Display 1,20,disc_K20_D2_opt_black.png,,K20_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,black,C2_background_aware_optimized,20,2,medium,1.00,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,1789996725000,21/09/2026 13:18:45,1789996725000,1,21/09/2026 14:18:45,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,33,Display 1,Screen 1,,,response,20,,,,7563.2,,,7563.2,1,7563.2,,,,Answer_20,,,Display 1,20,disc_K20_D3_opt_black.png,,K20_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,black,C2_background_aware_optimized,20,3,hard,1.30,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,1789996732000,21/09/2026 13:18:52,1789996732000,1,21/09/2026 14:18:52,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,34,Display 1,Screen 1,,,response,30,,,,7199.7,,,7199.7,1,7199.7,,,,Answer_30,,,Display 1,30,disc_K30_D1_opt_black.png,,K30_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,black,C2_background_aware_optimized,30,1,easy,0.80,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,1789996739000,21/09/2026 13:18:59,1789996739000,1,21/09/2026 14:18:59,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,35,Display 1,Screen 1,,,response,25,,,,5941.8,,,5941.8,0,5941.8,,,,Answer_25,,,Display 1,30,disc_K30_D2_opt_black.png,,K30_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,black,C2_background_aware_optimized,30,2,medium,1.00,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,1789996746000,21/09/2026 13:19:06,1789996746000,1,21/09/2026 14:19:06,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,36,Display 1,Screen 1,,,response,25,,,,11565.1,,,11565.1,0,11565.1,,,,Answer_25,,,Display 1,30,disc_K30_D3_opt_black.png,,K30_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,optimized,SYNTHETIC,SYNTHETIC,black,C2_background_aware_optimized,30,3,hard,1.30,distinctipy_background_aware,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,1789996753000,21/09/2026 13:19:13,1789996753000,1,21/09/2026 14:19:13,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,1,Display 1,Screen 1,,,response,Right,,,,7094.1,,,7094.1,,7094.1,,,,Select_Right,,,,,,,,,,,,,,,,,,,black,,30,2,medium,,,,,,,,,,,,,,,,,,,,,1,K30_D2_black,SideB,disc_K30_D2_opt_black.png,disc_K30_D2_orig_black.png,Left,disc_K30_D2_orig_black.png,disc_K30_D2_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
680,1789996760000,21/09/2026 13:19:20,1789996760000,1,21/09/2026 14:19:20,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,2,Display 1,Screen 1,,,response,Left,,,,5244.2,,,5244.2,,5244.2,,,,Select_Left,,,,,,,,,,,,,,,,,,,black,,20,3,hard,,,,,,,,,,,,,,,,,,,,,2,K20_D3_black,SideB,disc_K20_D3_orig_black.png,disc_K20_D3_opt_black.png,Right,disc_K20_D3_orig_black.png,disc_K20_D3_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
681,1789996767000,21/09/2026 13:19:27,1789996767000,1,21/09/2026 14:19:27,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,3,Display 1,Screen 1,,,response,Right,,,,6433.5,,,6433.5,,6433.5,,,,Select_Right,,,,,,,,,,,,,,,,,,,white,,10,3,hard,,,,,,,,,,,,,,,,,,,,,3,K10_D3_white,SideB,disc_K10_D3_opt_white.png,disc_K10_D3_orig_white.png,Left,disc_K10_D3_orig_white.png,disc_K10_D3_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
682,1789996774000,21/09/2026 13:19:34,1789996774000,1,21/09/2026 14:19:34,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,4,Display 1,Screen 1,,,response,Right,,,,2482.9,,,2482.9,,2482.9,,,,Select_Right,,,,,,,,,,,,,,,,,,,black,,10,2,medium,,,,,,,,,,,,,,,,,,,,,4,K10_D2_black,SideB,disc_K10_D2_opt_black.png,disc_K10_D2_orig_black.png,Left,disc_K10_D2_orig_black.png,disc_K10_D2_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
683,1789996781000,21/09/2026 13:19:41,1789996781000,1,21/09/2026 14:19:41,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,5,Display 1,Screen 1,,,response,Left,,,,3788.9,,,3788.9,,3788.9,,,,Select_Left,,,,,,,,,,,,,,,,,,,black,,30,1,easy,,,,,,,,,,,,,,,,,,,,,5,K30_D1_black,SideB,disc_K30_D1_opt_black.png,disc_K30_D1_orig_black.png,Left,disc_K30_D1_orig_black.png,disc_K30_D1_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
684,1789996788000,21/09/2026 13:19:48,1789996788000,1,21/09/2026 14:19:48,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,6,Display 1,Screen 1,,,response,Left,,,,3748.8,,,3748.8,,3748.8,,,,Select_Left,,,,,,,,,,,,,,,,,,,white,,20,2,medium,,,,,,,,,,,,,,,,,,,,,6,K20_D2_white,SideB,disc_K20_D2_opt_white.png,disc_K20_D2_orig_white.png,Left,disc_K20_D2_orig_white.png,disc_K20_D2_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
685,1789996795000,21/09/2026 13:19:55,1789996795000,1,21/09/2026 14:19:55,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,7,Display 1,Screen 1,,,response,Right,,,,2857.5,,,2857.5,,2857.5,,,,Select_Right,,,,,,,,,,,,,,,,,,,white,,10,2,medium,,,,,,,,,,,,,,,,,,,,,7,K10_D2_white,SideB,disc_K10_D2_opt_white.png,disc_K10_D2_orig_white.png,Left,disc_K10_D2_orig_white.png,disc_K10_D2_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
686,1789996802000,21/09/2026 13:20:02,1789996802000,1,21/09/2026 14:20:02,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,8,Display 1,Screen 1,,,response,Right,,,,6327.1,,,6327.1,,6327.1,,,,Select_Right,,,,,,,,,,,,,,,,,,,white,,30,1,easy,,,,,,,,,,,,,,,,,,,,,8,K30_D1_white,SideB,disc_K30_D1_orig_white.png,disc_K30_D1_opt_white.png,Right,disc_K30_D1_orig_white.png,disc_K30_D1_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
687,1789996809000,21/09/2026 13:20:09,1789996809000,1,21/09/2026 14:20:09,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,9,Display 1,Screen 1,,,response,Left,,,,5160.8,,,5160.8,,5160.8,,,,Select_Left,,,,,,,,,,,,,,,,,,,white,,10,1,easy,,,,,,,,,,,,,,,,,,,,,9,K10_D1_white,SideB,disc_K10_D1_opt_white.png,disc_K10_D1_orig_white.png,Left,disc_K10_D1_orig_white.png,disc_K10_D1_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
688,1789996816000,21/09/2026 13:20:16,1789996816000,1,21/09/2026 14:20:16,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,10,Display 1,Screen 1,,,response,Right,,,,4781.1,,,4781.1,,4781.1,,,,Select_Right,,,,,,,,,,,,,,,,,,,white,,30,2,medium,,,,,,,,,,,,,,,,,,,,,10,K30_D2_white,SideB,disc_K30_D2_orig_white.png,disc_K30_D2_opt_white.png,Right,disc_K30_D2_orig_white.png,disc_K30_D2_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
689,1789996823000,21/09/2026 13:20:23,1789996823000,1,21/09/2026 14:20:23,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,11,Display 1,Screen 1,,,response,Right,,,,4519.6,,,4519.6,,4519.6,,,,Select_Right,,,,,,,,,,,,,,,,,,,black,,10,3,hard,,,,,,,,,,,,,,,,,,,,,11,K10_D3_black,SideB,disc_K10_D3_opt_black.png,disc_K10_D3_orig_black.png,Left,disc_K10_D3_orig_black.png,disc_K10_D3_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
690,1789996830000,21/09/2026 13:20:30,1789996830000,1,21/09/2026 14:20:30,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,12,Display 1,Screen 1,,,response,Left,,,,5841.5,,,5841.5,,5841.5,,,,Select_Left,,,,,,,,,,,,,,,,,,,black,,30,3,hard,,,,,,,,,,,,,,,,,,,,,12,K30_D3_black,SideB,disc_K30_D3_opt_black.png,disc_K30_D3_orig_black.png,Left,disc_K30_D3_orig_black.png,disc_K30_D3_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
691,1789996837000,21/09/2026 13:20:37,1789996837000,1,21/09/2026 14:20:37,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,13,Display 1,Screen 1,,,response,Left,,,,4238.8,,,4238.8,,4238.8,,,,Select_Left,,,,,,,,,,,,,,,,,,,white,,20,1,easy,,,,,,,,,,,,,,,,,,,,,13,K20_D1_white,SideB,disc_K20_D1_opt_white.png,disc_K20_D1_orig_white.png,Left,disc_K20_D1_orig_white.png,disc_K20_D1_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
692,1789996844000,21/09/2026 13:20:44,1789996844000,1,21/09/2026 14:20:44,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,14,Display 1,Screen 1,,,response,Right,,,,8459.7,,,8459.7,,8459.7,,,,Select_Right,,,,,,,,,,,,,,,,,,,white,,30,3,hard,,,,,,,,,,,,,,,,,,,,,14,K30_D3_white,SideB,disc_K30_D3_orig_white.png,disc_K30_D3_opt_white.png,Right,disc_K30_D3_orig_white.png,disc_K30_D3_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
693,1789996851000,21/09/2026 13:20:51,1789996851000,1,21/09/2026 14:20:51,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,15,Display 1,Screen 1,,,response,Left,,,,6539.3,,,6539.3,,6539.3,,,,Select_Left,,,,,,,,,,,,,,,,,,,white,,20,3,hard,,,,,,,,,,,,,,,,,,,,,15,K20_D3_white,SideB,disc_K20_D3_orig_white.png,disc_K20_D3_opt_white.png,Right,disc_K20_D3_orig_white.png,disc_K20_D3_opt_white.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
694,1789996858000,21/09/2026 13:20:58,1789996858000,1,21/09/2026 14:20:58,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,16,Display 1,Screen 1,,,response,Left,,,,6680.2,,,6680.2,,6680.2,,,,Select_Left,,,,,,,,,,,,,,,,,,,black,,20,2,medium,,,,,,,,,,,,,,,,,,,,,16,K20_D2_black,SideB,disc_K20_D2_opt_black.png,disc_K20_D2_orig_black.png,Left,disc_K20_D2_orig_black.png,disc_K20_D2_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
695,1789996865000,21/09/2026 13:21:05,1789996865000,1,21/09/2026 14:21:05,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,17,Display 1,Screen 1,,,response,Left,,,,1970.7,,,1970.7,,1970.7,,,,Select_Left,,,,,,,,,,,,,,,,,,,black,,20,1,easy,,,,,,,,,,,,,,,,,,,,,17,K20_D1_black,SideB,disc_K20_D1_opt_black.png,disc_K20_D1_orig_black.png,Left,disc_K20_D1_orig_black.png,disc_K20_D1_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
696,1789996872000,21/09/2026 13:21:12,1789996872000,1,21/09/2026 14:21:12,275904,7,synthetic-pair-s3,,SYN-S3-S3_PRIV_012,S3P012,S3_PRIV_012,,complete,SYNTHETIC,S3_EXT_012,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Task 2 Pairwise Comparison,SYNTHETIC,G_WB_OrigFirst,G_WB_SideB,G_WB_SideB,18,Display 1,Screen 1,,,response,Right,,,,4857.3,,,4857.3,,4857.3,,,,Select_Right,,,,,,,,,,,,,,,,,,,black,,10,1,easy,,,,,,,,,,,,,,,,,,,,,18,K10_D1_black,SideB,disc_K10_D1_orig_black.png,disc_K10_D1_opt_black.png,Right,disc_K10_D1_orig_black.png,disc_K10_D1_opt_black.png,Left image,Right image,,,,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,,,,,,,,,,,,,FALSE,FALSE
697,1789996879000,21/09/2026 13:21:19,1789996879000,1,21/09/2026 14:21:19,275904,7,synthetic-vision-s3,,SYN-S3-S3_PRIV_013,S3P013,S3_PRIV_013,,complete,SYNTHETIC,S3_EXT_013,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check (Clone),SYNTHETIC,G_WB_OrigFirst,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,1981.1,,,1981.1,1,1981.1,,,,Number Entry,,,Display 1,12,12,Q1_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,1789996886000,21/09/2026 13:21:26,1789996886000,1,21/09/2026 14:21:26,275904,7,synthetic-vision-s3,,SYN-S3-S3_PRIV_013,S3P013,S3_PRIV_013,,complete,SYNTHETIC,S3_EXT_013,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check (Clone),SYNTHETIC,G_WB_OrigFirst,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,8075.6,,,8075.6,1,8075.6,,,,Number Entry,,,Display 2,16,16,Q2_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
