Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-6fcy,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial_number,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: correct_answer,Spreadsheet: left_option,Spreadsheet: right_option,Spreadsheet: confidence_rating,Spreadsheet: optimized_side,Spreadsheet: preferred_side,Spreadsheet: image,Spreadsheet: tag,Spreadsheet: num_classes,Spreadsheet: colormap,Spreadsheet: variation,Spreadsheet: condition,Spreadsheet: trial_type,Spreadsheet: question
589,1789996123000,21/09/2026 13:08:43,1789996123000,1,21/09/2026 14:08:43,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,baseline,,,,6436.3,,,6436.3,,6436.3,,,,Image Response,,,Display 1,1,compare_5_hard_optimized.png,compare_5_hard_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
590,1789996130000,21/09/2026 13:08:50,1789996130000,1,21/09/2026 14:08:50,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,optimized,,,,5163.8,,,5163.8,,5163.8,,,,Image Response,,,Display 1,2,compare_20_medium_optimized.png,compare_20_medium_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
591,1789996137000,21/09/2026 13:08:57,1789996137000,1,21/09/2026 14:08:57,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,optimized,,,,4356.5,,,4356.5,,4356.5,,,,Image Response,,,Display 1,3,compare_30_medium_optimized.png,compare_30_medium_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
592,1789996144000,21/09/2026 13:09:04,1789996144000,1,21/09/2026 14:09:04,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,baseline,,,,6280.1,,,6280.1,,6280.1,,,,Image Response,,,Display 1,4,compare_30_hard_baseline.png,compare_30_hard_optimized.png,NA,baseline,optimized,,Right,,,,,,,,,
593,1789996151000,21/09/2026 13:09:11,1789996151000,1,21/09/2026 14:09:11,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,5,Display 1,Screen 1,,,response,baseline,,,,4526.1,,,4526.1,,4526.1,,,,Image Response,,,Display 1,5,compare_5_medium_optimized.png,compare_5_medium_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
594,1789996158000,21/09/2026 13:09:18,1789996158000,1,21/09/2026 14:09:18,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,6,Display 1,Screen 1,,,response,baseline,,,,3163.4,,,3163.4,,3163.4,,,,Image Response,,,Display 1,6,compare_10_medium_baseline.png,compare_10_medium_optimized.png,NA,optimized,baseline,,Right,,,,,,,,,
595,1789996165000,21/09/2026 13:09:25,1789996165000,1,21/09/2026 14:09:25,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,7,Display 1,Screen 1,,,response,baseline,,,,3199.8,,,3199.8,,3199.8,,,,Image Response,,,Display 1,7,compare_30_easy_optimized.png,compare_30_easy_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
596,1789996172000,21/09/2026 13:09:32,1789996172000,1,21/09/2026 14:09:32,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,8,Display 1,Screen 1,,,response,optimized,,,,3231.8,,,3231.8,,3231.8,,,,Image Response,,,Display 1,8,compare_20_easy_baseline.png,compare_20_easy_optimized.png,NA,baseline,optimized,,Right,,,,,,,,,
597,1789996179000,21/09/2026 13:09:39,1789996179000,1,21/09/2026 14:09:39,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,9,Display 1,Screen 1,,,response,baseline,,,,3461.1,,,3461.1,,3461.1,,,,Image Response,,,Display 1,9,compare_10_easy_baseline.png,compare_10_easy_optimized.png,NA,baseline,optimized,,Right,,,,,,,,,
598,1789996186000,21/09/2026 13:09:46,1789996186000,1,21/09/2026 14:09:46,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,10,Display 1,Screen 1,,,response,optimized,,,,8156.6,,,8156.6,,8156.6,,,,Image Response,,,Display 1,10,compare_10_hard_baseline.png,compare_10_hard_optimized.png,NA,baseline,optimized,,Right,,,,,,,,,
599,1789996193000,21/09/2026 13:09:53,1789996193000,1,21/09/2026 14:09:53,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,11,Display 1,Screen 1,,,response,optimized,,,,3065.6,,,3065.6,,3065.6,,,,Image Response,,,Display 1,11,compare_20_hard_optimized.png,compare_20_hard_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
600,1789996200000,21/09/2026 13:10:00,1789996200000,1,21/09/2026 14:10:00,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_015,S2P015,S2_PRIV_015,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,12,Display 1,Screen 1,,,response,baseline,,,,4721.1,,,4721.1,,4721.1,,,,Image Response,,,Display 1,12,compare_5_easy_baseline.png,compare_5_easy_optimized.png,NA,optimized,baseline,,Right,,,,,,,,,
601,1789996207000,21/09/2026 13:10:07,1789996207000,1,21/09/2026 14:10:07,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2955.0,,,2955.0,1,2955.0,,,,Number Entry,,,Display 1,,,,12,,,,,,12,Q1_answer,,,,,,
602,1789996214000,21/09/2026 13:10:14,1789996214000,1,21/09/2026 14:10:14,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,4847.5,,,4847.5,1,4847.5,,,,Number Entry,,,Display 2,,,,16,,,,,,16,Q2_answer,,,,,,
603,1789996221000,21/09/2026 13:10:21,1789996221000,1,21/09/2026 14:10:21,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,1938.5,,,1938.5,1,1938.5,,,,Number Entry,,,Display 3,,,,29,,,,,,29,Q3_answer,,,,,,
604,1789996228000,21/09/2026 13:10:28,1789996228000,1,21/09/2026 14:10:28,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,1879.9,,,1879.9,1,1879.9,,,,Number Entry,,,Display 4,,,,26,,,,,,26,Q4_answer,,,,,,
605,1789996235000,21/09/2026 13:10:35,1789996235000,1,21/09/2026 14:10:35,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,1,Display 1,Screen 1,,,response,10,,,,2815.3,,,2815.3,1,2815.3,,,,Response,,,Display 1,,,,10,,,,,,disc_10_1_distinctipysa.png,,10,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
606,1789996242000,21/09/2026 13:10:42,1789996242000,1,21/09/2026 14:10:42,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,2,Display 1,Screen 1,,,response,5,,,,1815.4,,,1815.4,1,1815.4,,,,Response,,,Display 1,,,,5,,,,,,disc_5_1_distinctipy.png,,5,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
607,1789996249000,21/09/2026 13:10:49,1789996249000,1,21/09/2026 14:10:49,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,3,Display 1,Screen 1,,,response,10,,,,3510.6,,,3510.6,1,3510.6,,,,Response,,,Display 1,,,,10,,,,,,disc_10_3_distinctipysa.png,,10,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
608,1789996256000,21/09/2026 13:10:56,1789996256000,1,21/09/2026 14:10:56,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,4,Display 1,Screen 1,,,response,30,,,,10170.6,,,10170.6,1,10170.6,,,,Response,,,Display 1,,,,30,,,,,,disc_30_2_distinctipy.png,,30,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
609,1789996263000,21/09/2026 13:11:03,1789996263000,1,21/09/2026 14:11:03,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,5,Display 1,Screen 1,,,response,25,,,,7299.8,,,7299.8,0,7299.8,,,,Response,,,Display 1,,,,30,,,,,,disc_30_3_distinctipy.png,,30,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
610,1789996270000,21/09/2026 13:11:10,1789996270000,1,21/09/2026 14:11:10,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,6,Display 1,Screen 1,,,response,20,,,,4478.6,,,4478.6,1,4478.6,,,,Response,,,Display 1,,,,20,,,,,,disc_20_2_distinctipy.png,,20,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
611,1789996277000,21/09/2026 13:11:17,1789996277000,1,21/09/2026 14:11:17,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,7,Display 1,Screen 1,,,response,25,,,,8491.0,,,8491.0,0,8491.0,,,,Response,,,Display 1,,,,30,,,,,,disc_30_1_distinctipysa.png,,30,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
612,1789996284000,21/09/2026 13:11:24,1789996284000,1,21/09/2026 14:11:24,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,8,Display 1,Screen 1,,,response,20,,,,3020.8,,,3020.8,1,3020.8,,,,Response,,,Display 1,,,,20,,,,,,disc_20_1_distinctipysa.png,,20,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
613,1789996291000,21/09/2026 13:11:31,1789996291000,1,21/09/2026 14:11:31,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,9,Display 1,Screen 1,,,response,30,,,,7826.9,,,7826.9,1,7826.9,,,,Response,,,Display 1,,,,30,,,,,,disc_30_2_distinctipysa.png,,30,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
614,1789996298000,21/09/2026 13:11:38,1789996298000,1,21/09/2026 14:11:38,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,10,Display 1,Screen 1,,,response,10,,,,2852.3,,,2852.3,1,2852.3,,,,Response,,,Display 1,,,,10,,,,,,disc_10_1_distinctipy.png,,10,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
615,1789996305000,21/09/2026 13:11:45,1789996305000,1,21/09/2026 14:11:45,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,11,Display 1,Screen 1,,,response,15,,,,5546.2,,,5546.2,0,5546.2,,,,Response,,,Display 1,,,,20,,,,,,disc_20_3_distinctipy.png,,20,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
616,1789996312000,21/09/2026 13:11:52,1789996312000,1,21/09/2026 14:11:52,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,12,Display 1,Screen 1,,,response,15,,,,4463.9,,,4463.9,0,4463.9,,,,Response,,,Display 1,,,,20,,,,,,disc_20_3_distinctipysa.png,,20,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
617,1789996319000,21/09/2026 13:11:59,1789996319000,1,21/09/2026 14:11:59,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,13,Display 1,Screen 1,,,response,5,,,,6469.8,,,6469.8,1,6469.8,,,,Response,,,Display 1,,,,5,,,,,,disc_5_1_distinctipysa.png,,5,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
618,1789996326000,21/09/2026 13:12:06,1789996326000,1,21/09/2026 14:12:06,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,14,Display 1,Screen 1,,,response,25,,,,5286.2,,,5286.2,0,5286.2,,,,Response,,,Display 1,,,,30,,,,,,disc_30_3_distinctipysa.png,,30,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
619,1789996333000,21/09/2026 13:12:13,1789996333000,1,21/09/2026 14:12:13,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,15,Display 1,Screen 1,,,response,5,,,,6956.7,,,6956.7,1,6956.7,,,,Response,,,Display 1,,,,5,,,,,,disc_5_3_distinctipysa.png,,5,distinctipysa,3,sa,discrimination,How many distinct classes do you see?
620,1789996340000,21/09/2026 13:12:20,1789996340000,1,21/09/2026 14:12:20,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,16,Display 1,Screen 1,,,response,10,,,,4754.1,,,4754.1,1,4754.1,,,,Response,,,Display 1,,,,10,,,,,,disc_10_2_distinctipysa.png,,10,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
621,1789996347000,21/09/2026 13:12:27,1789996347000,1,21/09/2026 14:12:27,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,17,Display 1,Screen 1,,,response,5,,,,2330.9,,,2330.9,1,2330.9,,,,Response,,,Display 1,,,,5,,,,,,disc_5_3_distinctipy.png,,5,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
622,1789996354000,21/09/2026 13:12:34,1789996354000,1,21/09/2026 14:12:34,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,18,Display 1,Screen 1,,,response,5,,,,2209.6,,,2209.6,1,2209.6,,,,Response,,,Display 1,,,,5,,,,,,disc_5_2_distinctipy.png,,5,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
623,1789996361000,21/09/2026 13:12:41,1789996361000,1,21/09/2026 14:12:41,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,19,Display 1,Screen 1,,,response,10,,,,4224.6,,,4224.6,1,4224.6,,,,Response,,,Display 1,,,,10,,,,,,disc_10_2_distinctipy.png,,10,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
624,1789996368000,21/09/2026 13:12:48,1789996368000,1,21/09/2026 14:12:48,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,20,Display 1,Screen 1,,,response,15,,,,7349.1,,,7349.1,0,7349.1,,,,Response,,,Display 1,,,,20,,,,,,disc_20_2_distinctipysa.png,,20,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
625,1789996375000,21/09/2026 13:12:55,1789996375000,1,21/09/2026 14:12:55,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,21,Display 1,Screen 1,,,response,15,,,,4852.7,,,4852.7,0,4852.7,,,,Response,,,Display 1,,,,20,,,,,,disc_20_1_distinctipy.png,,20,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
626,1789996382000,21/09/2026 13:13:02,1789996382000,1,21/09/2026 14:13:02,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,22,Display 1,Screen 1,,,response,10,,,,3747.2,,,3747.2,1,3747.2,,,,Response,,,Display 1,,,,10,,,,,,disc_10_3_distinctipy.png,,10,distinctipy,3,baseline,discrimination,How many distinct classes do you see?
627,1789996389000,21/09/2026 13:13:09,1789996389000,1,21/09/2026 14:13:09,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,23,Display 1,Screen 1,,,response,30,,,,4341.8,,,4341.8,1,4341.8,,,,Response,,,Display 1,,,,30,,,,,,disc_30_1_distinctipy.png,,30,distinctipy,1,baseline,discrimination,How many distinct classes do you see?
628,1789996396000,21/09/2026 13:13:16,1789996396000,1,21/09/2026 14:13:16,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,24,Display 1,Screen 1,,,response,5,,,,2238.8,,,2238.8,1,2238.8,,,,Response,,,Display 1,,,,5,,,,,,disc_5_2_distinctipysa.png,,5,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
629,1789996403000,21/09/2026 13:13:23,1789996403000,1,21/09/2026 14:13:23,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,baseline,,,,6985.3,,,6985.3,,6985.3,,,,Image Response,,,Display 1,1,compare_20_hard_baseline.png,compare_20_hard_optimized.png,NA,optimized,baseline,,Right,,,,,,,,,
630,1789996410000,21/09/2026 13:13:30,1789996410000,1,21/09/2026 14:13:30,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,baseline,,,,3930.4,,,3930.4,,3930.4,,,,Image Response,,,Display 1,2,compare_20_medium_optimized.png,compare_20_medium_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
631,1789996417000,21/09/2026 13:13:37,1789996417000,1,21/09/2026 14:13:37,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,optimized,,,,6588.0,,,6588.0,,6588.0,,,,Image Response,,,Display 1,3,compare_20_easy_optimized.png,compare_20_easy_baseline.png,NA,baseline,optimized,,Left,,,,,,,,,
632,1789996424000,21/09/2026 13:13:44,1789996424000,1,21/09/2026 14:13:44,263105,5,synthetic-pair-s2,,SYN-S2-S2_PRIV_016,S2P016,S2_PRIV_016,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2 (Clone),SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,baseline,,,,3455.0,,,3455.0,,3455.0,,,,Image Response,,,Display 1,4,compare_5_medium_optimized.png,compare_5_medium_baseline.png,NA,optimized,baseline,,Left,,,,,,,,,
